"vars","pval","adjp","odds","exp","obs","size"
"expend_ED5-8",0.392120765832106,1,0,0.795918367346939,0,26
"earn_OC5_P-S",0.426204502419524,1,0,0.73469387755102,0,24
"earn_OC8_P-S",0.426204502419524,1,0,0.73469387755102,0,24
"earn_OC7_P-S",0.443963023353671,1,0,0.704081632653061,0,23
"pop_Y0-14",0.500184094256259,1,0,0.612244897959184,0,20
"pop_Y15-24",0.500184094256259,1,0,0.612244897959184,0,20
"pop_Y25-64",0.500184094256259,1,0,0.612244897959184,0,20
"pop_Y65-74",0.500184094256259,1,0,0.612244897959184,0,20
"emp_Y25-64_ED0-2",0.500184094256259,1,0,0.612244897959184,0,20
"emp_Y25-64_ED5-8",0.500184094256259,1,0,0.612244897959184,0,20
"emp_Y25-64_NaceF",0.500184094256259,1,0,0.612244897959184,0,20
"emp_Y25-64_NaceG-I",0.500184094256259,1,0,0.612244897959184,0,20
"emp_Y25-64_NaceM_N",0.500184094256259,1,0,0.612244897959184,0,20
"emp_Y25-64_NaceO-Q",0.500184094256259,1,0,0.612244897959184,0,20
"emp_Y25-64_NaceR-U",0.500184094256259,1,0,0.612244897959184,0,20
"unemp_YGE25",0.500184094256259,1,0,0.612244897959184,0,20
"training",0.500184094256259,1,0,0.612244897959184,0,20
"earn_OC8_G-N",0.500184094256259,1,0,0.612244897959184,0,20
"earn_OC9_G-N",0.500184094256259,1,0,0.612244897959184,0,20
"emp_Y25-64_NaceA",0.519928203240059,1,0,0.581632653061224,0,19
"emp_Y15-24_NaceG-I",0.519928203240059,1,0,0.581632653061224,0,19
"unemp_Y15-24",0.519928203240059,1,0,0.581632653061224,0,19
"earn_OC5_B-F",0.519928203240059,1,0,0.581632653061224,0,19
"earn_OC9_B-F",0.519928203240059,1,0,0.581632653061224,0,19
"earn_OC5_G-N",0.519928203240059,1,0,0.581632653061224,0,19
"emp_Y15-24_ED5-8",0.540185146223438,1,0,0.551020408163265,0,18
"emp_Y25-64_NaceL",0.560961498001263,1,0,0.520408163265306,0,17
"emp_Y15-24_NaceM_N",0.560961498001263,1,0,0.520408163265306,0,17
"emp_Y15-24_NaceR-U",0.560961498001263,1,0,0.520408163265306,0,17
"earn_OC6_G-N",0.626472754050074,1,0,0.428571428571429,0,14
"rooms_pp",0.649392488954345,1,0,0.397959183673469,0,13
"GVAgr",0.649392488954345,1,0,0.397959183673469,0,13
"emp_Y15-24_NaceA",0.672864506627393,1,0,0.36734693877551,0,12
"ARPR",0.772406900904692,1,0,0.244897959183673,0,8
"low_work",0.772406900904692,1,0,0.244897959183673,0,8
"mat_depriv",0.772406900904692,1,0,0.244897959183673,0,8
"ARPR_socexcl",0.772406900904692,1,0,0.244897959183673,0,8
"earn_OC7_B-F",0.798738954344624,1,0,0.214285714285714,0,7
"earn_OC4_P-S",0.825662739322533,1,0,0.183673469387755,0,6
"pop_YGE75",0.895066273932253,1,2,0.612244897959184,1,20
"emp_FT",0.895066273932253,1,2,0.612244897959184,1,20
"emp_YGE65",0.895066273932253,1,2,0.612244897959184,1,20
"emp_Y25-64_NaceJ",0.904810119924258,1,2.13888888888889,0.581632653061224,1,19
"emp_Y25-64_NaceK",0.904810119924258,1,2.13888888888889,0.581632653061224,1,19
"emp_Y15-24_NaceL",0.939406690511256,1,0,0.0612244897959184,0,2
"emp_Y15-24",0.992504733852304,1,8.55555555555556,0.612244897959184,2,20
"emp_Y25-64",0.992504733852304,1,8.55555555555556,0.612244897959184,2,20
"emp_Y15-24_ED3-4",0.993629023774458,1,9.17647058823529,0.581632653061224,2,19
"emp_Y15-24_NaceF",0.995529139490848,1,10.6666666666667,0.520408163265306,2,17
"emp_Y15-24_NaceJ",0.998915158847044,1,19.1111111111111,0.336734693877551,2,11
"emp_Y15-24_NaceK",0.999631811487482,1,29.6666666666667,0.244897959183673,2,8
"pop_Total",1,1,Inf,0.612244897959184,3,20
"emp_Y15-24_ED0-2",1,1,Inf,0.581632653061224,3,19
"emp_Y25-64_ED3-4",1,1,Inf,0.612244897959184,3,20
"emp_PT",1,1,Inf,0.612244897959184,3,20
"emp_Y15-24_NaceB-E",1,1,Inf,0.581632653061224,3,19
"emp_Y25-64_NaceB-E",1,1,Inf,0.612244897959184,3,20
"emp_Y15-24_NaceO-Q",1,1,Inf,0.551020408163265,3,18
"GDP",1,1,Inf,0.612244897959184,3,20
"disp_income",1,1,Inf,0.581632653061224,3,19
"earn_OC1_B-F",1,1,Inf,0.642857142857143,3,21
"earn_OC2_B-F",1,1,Inf,0.612244897959184,3,20
"earn_OC3_B-F",1,1,Inf,0.612244897959184,3,20
"earn_OC4_B-F",1,1,Inf,0.612244897959184,3,20
"earn_OC6_B-F",1,1,Inf,0.520408163265306,3,17
"earn_OC8_B-F",1,1,Inf,0.73469387755102,3,24
"earn_OC1_G-N",1,1,Inf,0.612244897959184,3,20
"earn_OC2_G-N",1,1,Inf,0.642857142857143,3,21
"earn_OC3_G-N",1,1,Inf,0.673469387755102,3,22
"earn_OC4_G-N",1,1,Inf,0.642857142857143,3,21
"earn_OC7_G-N",1,1,Inf,0.795918367346939,3,26
"earn_OC1_P-S",1,1,Inf,0.73469387755102,3,24
"earn_OC2_P-S",1,1,Inf,0.795918367346939,3,26
"earn_OC3_P-S",1,1,Inf,0.673469387755102,3,22
"earn_OC6_P-S",1,1,Inf,0.73469387755102,3,24
"earn_OC9_P-S",1,1,Inf,0.948979591836735,3,31
