"vars","pval","adjp","odds","exp","obs","size"
"pop_Y0-14",0.405982905982906,0.993894993894994,0,0.75,0,7
"pop_Y25-64",0.405982905982906,0.993894993894994,0,0.75,0,7
"mat_depriv",0.405982905982906,0.993894993894994,0,0.75,0,7
"emp_Y15-24_ED3-4",0.405982905982906,0.993894993894994,0,0.75,0,7
"emp_Y25-64_ED3-4",0.405982905982906,0.993894993894994,0,0.75,0,7
"emp_FT",0.405982905982906,0.993894993894994,0,0.75,0,7
"emp_Y15-24",0.405982905982906,0.993894993894994,0,0.75,0,7
"emp_Y25-64",0.405982905982906,0.993894993894994,0,0.75,0,7
"emp_Y25-64_NaceA",0.405982905982906,0.993894993894994,0,0.75,0,7
"emp_Y15-24_NaceB-E",0.405982905982906,0.993894993894994,0,0.75,0,7
"emp_Y25-64_NaceB-E",0.405982905982906,0.993894993894994,0,0.75,0,7
"emp_Y15-24_NaceF",0.405982905982906,0.993894993894994,0,0.75,0,7
"emp_Y15-24_NaceG-I",0.405982905982906,0.993894993894994,0,0.75,0,7
"emp_Y15-24_NaceO-Q",0.405982905982906,0.993894993894994,0,0.75,0,7
"emp_Y25-64_NaceO-Q",0.405982905982906,0.993894993894994,0,0.75,0,7
"GDP",0.405982905982906,0.993894993894994,0,0.75,0,7
"GVAgr",0.405982905982906,0.993894993894994,0,0.75,0,7
"disp_income",0.405982905982906,0.993894993894994,0,0.75,0,7
"earn_OC8_B-F",0.405982905982906,0.993894993894994,0,0.75,0,7
"earn_OC6_B-F",0.617826617826618,0.993894993894994,0,0.428571428571429,0,4
"emp_Y15-24_NaceL",0.793650793650794,0.993894993894994,0,0.214285714285714,0,2
"rooms_pp",0.811965811965812,0.993894993894994,1.28571428571429,0.857142857142857,1,8
"pop_Total",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"pop_Y65-74",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"emp_Y15-24_ED5-8",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"emp_YGE65",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"emp_Y25-64_NaceF",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"emp_Y25-64_NaceG-I",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"emp_Y25-64_NaceJ",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"emp_Y25-64_NaceK",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"emp_Y25-64_NaceL",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"emp_Y25-64_NaceM_N",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"emp_Y15-24_NaceR-U",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"unemp_Y15-24",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"unemp_YGE25",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"training",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"earn_OC1_B-F",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"earn_OC2_B-F",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"earn_OC4_B-F",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"earn_OC7_B-F",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"earn_OC1_G-N",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"earn_OC2_G-N",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"earn_OC7_G-N",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"earn_OC1_P-S",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"earn_OC3_P-S",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"earn_OC4_P-S",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"earn_OC5_P-S",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"expend_ED5-8",0.854700854700855,0.993894993894994,1.58333333333333,0.75,1,7
"earn_OC7_P-S",0.893162393162393,0.993894993894994,2,0.642857142857143,1,6
"emp_Y15-24_NaceK",0.926739926739927,0.993894993894994,2.625,0.535714285714286,1,5
"earn_OC6_G-N",0.926739926739927,0.993894993894994,2.625,0.535714285714286,1,5
"earn_OC6_P-S",0.954822954822955,0.993894993894994,3.66666666666667,0.428571428571429,1,4
"pop_Y15-24",0.989316239316239,0.993894993894994,8,0.75,2,7
"pop_YGE75",0.989316239316239,0.993894993894994,8,0.75,2,7
"ARPR",0.989316239316239,0.993894993894994,8,0.75,2,7
"low_work",0.989316239316239,0.993894993894994,8,0.75,2,7
"ARPR_socexcl",0.989316239316239,0.993894993894994,8,0.75,2,7
"emp_Y15-24_ED0-2",0.989316239316239,0.993894993894994,8,0.75,2,7
"emp_Y25-64_ED0-2",0.989316239316239,0.993894993894994,8,0.75,2,7
"emp_Y25-64_ED5-8",0.989316239316239,0.993894993894994,8,0.75,2,7
"emp_PT",0.989316239316239,0.993894993894994,8,0.75,2,7
"emp_Y15-24_NaceA",0.989316239316239,0.993894993894994,8,0.75,2,7
"emp_Y15-24_NaceJ",0.989316239316239,0.993894993894994,8,0.75,2,7
"emp_Y15-24_NaceM_N",0.989316239316239,0.993894993894994,8,0.75,2,7
"emp_Y25-64_NaceR-U",0.989316239316239,0.993894993894994,8,0.75,2,7
"earn_OC3_B-F",0.989316239316239,0.993894993894994,8,0.75,2,7
"earn_OC5_B-F",0.989316239316239,0.993894993894994,8,0.75,2,7
"earn_OC9_B-F",0.989316239316239,0.993894993894994,8,0.75,2,7
"earn_OC3_G-N",0.989316239316239,0.993894993894994,8,0.75,2,7
"earn_OC4_G-N",0.989316239316239,0.993894993894994,8,0.75,2,7
"earn_OC5_G-N",0.989316239316239,0.993894993894994,8,0.75,2,7
"earn_OC8_G-N",0.989316239316239,0.993894993894994,8,0.75,2,7
"earn_OC9_G-N",0.989316239316239,0.993894993894994,8,0.75,2,7
"earn_OC2_P-S",0.989316239316239,0.993894993894994,8,0.75,2,7
"earn_OC9_P-S",0.989316239316239,0.993894993894994,8,0.75,2,7
"earn_OC8_P-S",0.993894993894994,0.993894993894994,10.5,0.642857142857143,2,6
