"vars","pval","adjp","odds","exp","obs","size"
"earn_OC9_P-S",0.00924901185770751,0.232806324110672,Inf,0.195652173913043,2,27
"emp_Y25-64_NaceR-U",0.00996047430830039,0.232806324110672,Inf,0.202898550724638,2,28
"GDP",0.0106982872200264,0.232806324110672,Inf,0.210144927536232,2,29
"earn_OC5_P-S",0.0122529644268775,0.232806324110672,Inf,0.22463768115942,2,31
"earn_OC2_P-S",0.0156785243741765,0.238313570487484,Inf,0.253623188405797,2,35
"earn_OC3_G-N",0.0420553359683795,0.399525691699605,Inf,0.41304347826087,2,57
"earn_OC3_P-S",0.0420553359683795,0.399525691699605,Inf,0.41304347826087,2,57
"earn_OC4_P-S",0.0420553359683795,0.399525691699605,Inf,0.41304347826087,2,57
"emp_Y25-64_NaceK",0.179841897233201,0.831494071146245,9.96,0.188405797101449,1,26
"earn_OC5_B-F",0.179841897233201,0.831494071146245,9.96,0.188405797101449,1,26
"earn_OC7_P-S",0.179841897233201,0.831494071146245,9.96,0.188405797101449,1,26
"earn_OC8_P-S",0.179841897233201,0.831494071146245,9.96,0.188405797101449,1,26
"pop_Y0-14",0.192938076416337,0.831494071146245,9.14814814814815,0.202898550724638,1,28
"emp_Y25-64_ED5-8",0.192938076416337,0.831494071146245,9.14814814814815,0.202898550724638,1,28
"emp_Y25-64_NaceM_N",0.192938076416337,0.831494071146245,9.14814814814815,0.202898550724638,1,28
"earn_OC9_B-F",0.199446640316206,0.831494071146245,8.78571428571429,0.210144927536232,1,29
"earn_OC5_G-N",0.212384716732543,0.831494071146245,8.13333333333333,0.22463768115942,1,31
"earn_OC7_G-N",0.212384716732543,0.831494071146245,8.13333333333333,0.22463768115942,1,31
"earn_OC8_G-N",0.212384716732543,0.831494071146245,8.13333333333333,0.22463768115942,1,31
"earn_OC1_P-S",0.218814229249012,0.831494071146245,7.83870967741935,0.231884057971014,1,32
"earn_OC4_G-N",0.293913043478261,1,5.37209302325581,0.318840579710145,1,44
"earn_OC9_G-N",0.347747035573123,1,4.26923076923077,0.384057971014493,1,53
"earn_OC7_B-F",0.399446640316206,1,3.49180327868852,0.449275362318841,1,62
"earn_OC8_B-F",0.41064558629776,1,3.34920634920635,0.463768115942029,1,64
"pop_Total",1,1,0,0.202898550724638,0,28
"pop_Y15-24",1,1,0,0.202898550724638,0,28
"pop_Y25-64",1,1,0,0.202898550724638,0,28
"pop_Y65-74",1,1,0,0.202898550724638,0,28
"pop_YGE75",1,1,0,0.202898550724638,0,28
"ARPR",1,1,0,0.0652173913043478,0,9
"low_work",1,1,0,0.0652173913043478,0,9
"rooms_pp",1,1,0,0.123188405797101,0,17
"mat_depriv",1,1,0,0.0652173913043478,0,9
"ARPR_socexcl",1,1,0,0.0652173913043478,0,9
"emp_Y15-24_ED0-2",1,1,0,0.173913043478261,0,24
"emp_Y25-64_ED0-2",1,1,0,0.202898550724638,0,28
"emp_Y15-24_ED3-4",1,1,0,0.195652173913043,0,27
"emp_Y25-64_ED3-4",1,1,0,0.202898550724638,0,28
"emp_Y15-24_ED5-8",1,1,0,0.144927536231884,0,20
"emp_FT",1,1,0,0.202898550724638,0,28
"emp_PT",1,1,0,0.202898550724638,0,28
"emp_Y15-24",1,1,0,0.202898550724638,0,28
"emp_Y25-64",1,1,0,0.202898550724638,0,28
"emp_YGE65",1,1,0,0.188405797101449,0,26
"emp_Y15-24_NaceA",1,1,0,0.0579710144927536,0,8
"emp_Y25-64_NaceA",1,1,0,0.181159420289855,0,25
"emp_Y15-24_NaceB-E",1,1,0,0.166666666666667,0,23
"emp_Y25-64_NaceB-E",1,1,0,0.202898550724638,0,28
"emp_Y15-24_NaceF",1,1,0,0.123188405797101,0,17
"emp_Y25-64_NaceF",1,1,0,0.202898550724638,0,28
"emp_Y15-24_NaceG-I",1,1,0,0.195652173913043,0,27
"emp_Y25-64_NaceG-I",1,1,0,0.202898550724638,0,28
"emp_Y15-24_NaceJ",1,1,0,0.0434782608695652,0,6
"emp_Y25-64_NaceJ",1,1,0,0.181159420289855,0,25
"emp_Y15-24_NaceK",1,1,0,0.0289855072463768,0,4
"emp_Y15-24_NaceL",1,1,0,0.0072463768115942,0,1
"emp_Y25-64_NaceL",1,1,0,0.123188405797101,0,17
"emp_Y15-24_NaceM_N",1,1,0,0.123188405797101,0,17
"emp_Y15-24_NaceO-Q",1,1,0,0.159420289855072,0,22
"emp_Y25-64_NaceO-Q",1,1,0,0.202898550724638,0,28
"emp_Y15-24_NaceR-U",1,1,0,0.108695652173913,0,15
"unemp_Y15-24",1,1,0,0.188405797101449,0,26
"unemp_YGE25",1,1,0,0.202898550724638,0,28
"GVAgr",1,1,0,0.0797101449275362,0,11
"disp_income",1,1,0,0.231884057971014,0,32
"training",1,1,0,0.202898550724638,0,28
"earn_OC1_B-F",1,1,0,0.427536231884058,0,59
"earn_OC2_B-F",1,1,0,0.311594202898551,0,43
"earn_OC3_B-F",1,1,0,0.27536231884058,0,38
"earn_OC4_B-F",1,1,0,0.311594202898551,0,43
"earn_OC6_B-F",1,1,0,0.311594202898551,0,43
"earn_OC1_G-N",1,1,0,0.27536231884058,0,38
"earn_OC2_G-N",1,1,0,0.326086956521739,0,45
"earn_OC6_G-N",1,1,0,0.231884057971014,0,32
"earn_OC6_P-S",1,1,0,0.181159420289855,0,25
"expend_ED5-8",1,1,0,0.246376811594203,0,34
